Series Name,Series Code,Level,Level2,Country Name,Country Code,YR1999 [YR1999],YR2000 [YR2000],YR2001 [YR2001],YR2002 [YR2002],YR2003 [YR2003],YR2004 [YR2004],YR2005 [YR2005],YR2006 [YR2006],YR2007 [YR2007],YR2008 [YR2008],YR2009 [YR2009],YR2010 [YR2010],YR2011 [YR2011],YR2012 [YR2012],YR2013 [YR2013],YR2014 [YR2014],YR2015 [YR2015],YR2016 [YR2016],YR2017 [YR2017],YR2018 [YR2018],YR2019 [YR2019]
Number of branches,FA.MIX.BRCH,Argentina,,Alternativa 3 (101396),101396,..,..,..,..,..,..,..,..,..,..,7,..,7,7,7,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Avanzar (102149),102149,..,..,..,..,..,..,..,..,..,1,..,1,1,1,1,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,BMM Córdoba (101232),101232,..,..,..,..,..,..,..,..,..,1,1,1,1,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,CEFAM (130665),130665,..,..,..,..,..,..,..,..,..,..,..,1,1,1,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Columbia Microcreditos (101395),101395,..,..,..,..,..,..,..,..,3,4,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Contigo Microfinanzas (127463),127463,..,..,..,..,..,..,..,..,..,..,..,3,3,5,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Cordial Microfinanzas (102278),102278,..,..,..,..,..,..,..,..,5,8,6,9,10,9,9,9,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Emprenda (100760),100760,..,..,..,..,..,..,..,4,4,5,5,9,9,8,8,9,6,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Entre Todos (101398),101398,..,..,..,..,..,..,..,..,..,1,1,1,1,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,FIE Gran Poder (101112),101112,..,..,..,..,..,1,2,5,8,8,8,8,10,11,11,..,11,9,8,8,..
Number of branches,FA.MIX.BRCH,Argentina,,FPVS (101492),101492,..,..,..,..,..,..,..,..,..,2,3,..,..,..,..,3,4,4,4,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Fundacion Sagrada Familia (143500),143500,..,..,..,..,..,..,..,..,..,..,..,..,..,4,4,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Grameen Chaco (102446),102446,..,..,..,..,..,..,..,..,..,1,1,1,1,..,..,1,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Grameen Mendoza (101221),101221,..,..,..,..,1,1,1,2,3,3,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Intihuaca - BMM Argentina (101233),101233,..,..,..,..,..,..,..,..,..,7,5,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,OMLA (113141),113141,..,..,..,..,..,..,..,..,..,..,4,5,5,6,8,9,..,13,14,14,..
Number of branches,FA.MIX.BRCH,Argentina,,Pro Mujer - ARG (101397),101397,..,..,..,..,..,..,..,..,5,10,9,11,15,8,..,6,4,4,5,7,..
Number of branches,FA.MIX.BRCH,Argentina,,Progresar (100453),100453,..,..,..,..,..,..,..,..,1,1,1,2,2,2,1,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Argentina,,Techo (166114),166114,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Belize,,LICU (115779),115779,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,AgroCapital (100662),100662,..,..,..,..,9,10,11,11,13,17,17,16,12,12,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,ANED (101399),101399,..,..,..,..,..,..,..,42,43,42,43,42,39,..,..,27,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,Banco Fassil (101413),101413,..,..,..,..,..,..,6,7,10,18,23,44,76,96,112,125,134,145,155,164,..
Number of branches,FA.MIX.BRCH,Bolivia,,Banco FIE (100296),100296,..,..,..,..,29,37,46,54,58,118,128,144,135,192,145,146,152,153,153,153,..
Number of branches,FA.MIX.BRCH,Bolivia,,Banco Fortaleza (101414),101414,..,..,..,..,..,..,10,10,12,14,17,20,23,..,52,52,39,37,37,37,..
Number of branches,FA.MIX.BRCH,Bolivia,,Banco Mercantil (176695),176695,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,134,107,..
Number of branches,FA.MIX.BRCH,Bolivia,,BANCO PRODEM (100348),100348,..,..,..,..,71,81,87,91,93,104,102,103,103,109,111,123,127,128,135,136,..
Number of branches,FA.MIX.BRCH,Bolivia,,Banco Pyme de la Comunidad (141584),141584,..,..,..,..,..,..,..,..,..,2,2,2,3,5,7,10,12,14,14,13,..
Number of branches,FA.MIX.BRCH,Bolivia,,Banco PYME EcoFuturo (100661),100661,..,..,..,..,..,8,11,13,18,22,59,82,92,102,84,84,75,71,80,81,..
Number of branches,FA.MIX.BRCH,Bolivia,,BancoSol (100272),100272,..,..,..,..,..,..,..,..,..,59,53,69,70,81,97,104,104,104,102,101,..
Number of branches,FA.MIX.BRCH,Bolivia,,CIDRE IFD (101401),101401,..,..,..,..,..,..,..,8,9,11,11,12,15,17,19,22,27,29,30,30,..
Number of branches,FA.MIX.BRCH,Bolivia,,Coop Fátima (101658),101658,..,..,..,..,..,..,5,5,5,5,6,6,7,..,7,7,7,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,Coop Jesús Nazareno (101409),101409,..,..,..,..,..,..,..,17,17,17,19,25,21,..,27,27,26,30,30,33,..
Number of branches,FA.MIX.BRCH,Bolivia,,CRECER IFD (100490),100490,..,..,..,..,..,26,30,34,40,51,57,61,65,61,64,69,71,71,83,85,..
Number of branches,FA.MIX.BRCH,Bolivia,,Diaconia FRIF IFD (101411),101411,..,..,..,..,..,..,13,19,28,33,36,38,45,49,54,58,59,59,61,63,..
Number of branches,FA.MIX.BRCH,Bolivia,,Emprender (101081),101081,..,..,..,..,..,5,6,8,10,11,13,14,15,15,15,15,11,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,FADES (100341),100341,..,..,..,..,..,66,74,83,85,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,FONCRESOL (100474),100474,..,..,..,..,..,7,7,7,7,6,5,5,5,5,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,FONDECO IFD (100212),100212,..,..,..,..,..,..,..,17,19,15,17,15,16,17,17,12,15,15,11,9,..
Number of branches,FA.MIX.BRCH,Bolivia,,FUBODE IFD (101412),101412,..,..,..,..,..,..,..,11,12,13,13,15,17,18,18,21,21,22,23,24,..
Number of branches,FA.MIX.BRCH,Bolivia,,FUNBODEM (101108),101108,..,..,..,..,..,..,1,2,3,3,4,4,10,10,8,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,GRUSOL (102532),102532,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,IDEPRO IFD (101417),101417,..,..,..,..,..,..,..,5,10,11,14,17,17,19,21,21,21,19,24,29,..
Number of branches,FA.MIX.BRCH,Bolivia,,IMPRO IFD (101048),101048,..,..,..,..,..,1,1,2,2,2,2,2,2,3,2,3,3,3,2,4,..
Number of branches,FA.MIX.BRCH,Bolivia,,PDAI (102471),102471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,Porvenir (104490),104490,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,Pro Mujer IFD- BOL (100350),100350,..,..,..,..,41,46,47,52,57,62,69,73,73,66,75,73,48,58,53,51,..
Number of branches,FA.MIX.BRCH,Bolivia,,ProCredit - BOL (100754),100754,..,..,..,..,32,50,60,38,42,56,62,60,66,70,58,56,51,51,..,..,..
Number of branches,FA.MIX.BRCH,Bolivia,,Sartawi (101962),101962,..,..,..,..,..,..,..,11,11,12,12,25,22,23,21,24,30,39,40,40,..
Number of branches,FA.MIX.BRCH,Brazil,,ACCION Microfinanças (125819),125819,..,..,..,..,..,..,..,..,..,..,..,..,2,2,4,4,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Acredite (102792),102792,..,..,..,..,..,..,..,..,..,1,1,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Agência do Crédito (102799),102799,..,..,..,..,..,..,..,..,..,13,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,AgroAmigo (141197),141197,..,..,..,..,..,..,..,..,..,..,..,159,160,161,..,180,202,224,198,201,..
Number of branches,FA.MIX.BRCH,Brazil,,Amazoncred (103740),103740,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,ANDE (102363),102363,..,..,..,..,..,..,..,..,..,39,29,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,ASCOOB CENTRAL (113026),113026,..,..,..,..,..,..,..,..,..,..,..,15,17,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Associação Aliança Empreendedora (102537),102537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco da Família (100424),100424,..,..,..,..,..,..,1,1,1,4,6,8,7,13,13,15,5,5,19,20,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco da Gente (102845),102845,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco do Empreendedor (102827),102827,..,..,..,..,..,..,..,..,..,5,..,7,9,..,..,24,24,22,22,22,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco do Povo ACP (100740),100740,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco do Vale (102834),102834,..,..,..,..,..,..,..,..,..,4,4,4,5,7,7,9,8,6,6,6,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco Popular - Associacao do Vale de Aco (102169),102169,..,..,..,..,..,..,..,13,18,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco Popular da Mulher (102816),102816,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Banco Popular do Brasil (101796),101796,..,..,..,..,..,..,..,1,1,1,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,BANCRI (102163),102163,..,..,..,..,..,..,..,..,..,4,6,5,6,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Casa do empreendedor Londrina (175268),175268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,..
Number of branches,FA.MIX.BRCH,Brazil,,Casa do Microcrédito (101459),101459,..,..,..,..,..,1,..,..,..,3,..,..,3,..,..,6,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,CEADe (101718),101718,..,..,..,..,..,..,1,1,1,1,2,4,4,4,..,4,4,2,1,1,..
Number of branches,FA.MIX.BRCH,Brazil,,CEAPE BA (101660),101660,..,..,..,..,..,..,..,..,..,5,5,5,5,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,CEAPE MA (100415),100415,..,..,..,..,..,46,56,47,50,49,46,44,21,27,27,25,24,..,30,30,..
Number of branches,FA.MIX.BRCH,Brazil,,CEAPE PB (100362),100362,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,CEAPE PE (100669),100669,..,..,..,..,..,..,..,..,..,14,12,12,..,12,11,11,11,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,CEAPE PI (101461),101461,..,..,..,..,..,..,..,..,..,15,15,15,17,17,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,CEAPE SE (102874),102874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,14,19,19,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Central Cresol Baser (101462),101462,..,..,..,..,..,..,..,80,73,75,75,162,164,..,193,..,222,264,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,CREDCIDADANIA (102882),102882,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,CrediAmigo (100459),100459,..,..,..,..,..,197,193,193,170,237,258,314,173,..,426,431,449,459,462,475,..
Number of branches,FA.MIX.BRCH,Brazil,,Credimais (102886),102886,..,..,..,..,..,..,..,..,..,..,..,..,..,5,..,4,3,..,..,3,..
Number of branches,FA.MIX.BRCH,Brazil,,CREDIOESTE (102887),102887,..,..,..,..,..,..,..,..,..,1,1,1,1,3,..,3,1,1,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Credisol (101717),101717,..,..,..,..,..,1,..,..,..,5,5,6,6,8,8,13,13,12,13,13,..
Number of branches,FA.MIX.BRCH,Brazil,,Credito Solidário - BPCS (102829),102829,..,..,..,..,..,..,..,..,..,4,4,5,5,5,7,7,7,7,7,7,..
Number of branches,FA.MIX.BRCH,Brazil,,Crescer Crédito Solidario (101712),101712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Cresol Central (103698),103698,..,..,..,..,..,..,..,..,..,71,128,158,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,EMPREENDA! (100045),100045,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Empresta Capital (102162),102162,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..
Number of branches,FA.MIX.BRCH,Brazil,,Extracredi (102776),102776,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,10,9,9,9,9,..
